Max across all cases: 38
Occurred for (n,p) = (1024, 0.990234375)

n       p              max
32      0.3125         32 
32      0.5            22 
32      0.6875         24 
64      0.15625        24 
64      0.25           22 
64      0.5            22 
64      0.75           24 
64      0.84375        24 
128     0.078125       26 
128     0.125          24 
128     0.25           22 
128     0.5            26 
128     0.75           24 
128     0.875          20 
128     0.921875       32 
256     0.0390625      24 
256     0.0625         22 
256     0.125          16 
256     0.25           20 
256     0.5            16 
256     0.75           16 
256     0.875          18 
256     0.9375         26 
256     0.9609375      24 
512     0.01953125     28 
512     0.03125        22 
512     0.0625         18 
512     0.125          14 
512     0.25           12 
512     0.5            12 
512     0.75           12 
512     0.875          14 
512     0.9375         18 
512     0.96875        22 
512     0.98046875     22 
1024    0.009765625    22 
1024    0.015625       24 
1024    0.03125        20 
1024    0.0625         16 
1024    0.125          12 
1024    0.25           12 
1024    0.5            10 
1024    0.75           12 
1024    0.875          12 
1024    0.9375         16 
1024    0.96875        20 
1024    0.984375       20 
1024    0.990234375    38 
2048    0.0048828125   24 
2048    0.0078125      24 
2048    0.015625       20 
2048    0.03125        14 
2048    0.0625         12 
2048    0.125          14 
2048    0.25           10 
2048    0.5            12 
2048    0.75           12 
2048    0.875          10 
2048    0.9375         14 
2048    0.96875        14 
2048    0.984375       16 
2048    0.9921875      22 
2048    0.9951171875   26 
4096    0.0024414062   30 
4096    0.00390625     26 
4096    0.0078125      16 
4096    0.015625       16 
4096    0.03125        12 
4096    0.0625         12 
4096    0.125          10 
4096    0.25           12 
4096    0.5            8  
4096    0.75           12 
4096    0.875          10 
4096    0.9375         10 
4096    0.96875        12 
4096    0.984375       14 
4096    0.9921875      16 
4096    0.99609375     22 
4096    0.9975585938   24 
8192    0.0012207031   24 
8192    0.001953125    24 
8192    0.00390625     20 
8192    0.0078125      18 
8192    0.015625       14 
8192    0.03125        10 
8192    0.0625         10 
8192    0.125          10 
8192    0.25           10 
8192    0.5            10 
8192    0.75           10 
8192    0.875          10 
8192    0.9375         10 
8192    0.96875        10 
8192    0.984375       14 
8192    0.9921875      24 
8192    0.99609375     20 
8192    0.998046875    22 
8192    0.9987792969   26 
16384   0.0006103516   26 
16384   0.0009765625   24 
16384   0.001953125    22 
16384   0.00390625     12 
16384   0.0078125      14 
16384   0.015625       12 
16384   0.03125        12 
16384   0.0625         10 
16384   0.125          10 
16384   0.25           10 
16384   0.5            10 
16384   0.75           8  
16384   0.875          10 
16384   0.9375         10 
16384   0.96875        12 
16384   0.984375       12 
16384   0.9921875      16 
16384   0.99609375     16 
16384   0.998046875    16 
16384   0.9990234375   22 
16384   0.9993896484   26 
32768   0.0003051758   24 
32768   0.0004882812   26 
32768   0.0009765625   16 
32768   0.001953125    14 
32768   0.00390625     12 
32768   0.0078125      10 
32768   0.015625       10 
32768   0.03125        10 
32768   0.0625         12 
32768   0.125          8  
32768   0.25           10 
32768   0.5            10 
32768   0.75           10 
32768   0.875          10 
32768   0.9375         10 
32768   0.96875        10 
32768   0.984375       8  
32768   0.9921875      12 
32768   0.99609375     12 
32768   0.998046875    16 
32768   0.9990234375   18 
32768   0.9995117188   20 
32768   0.9996948242   26 
65536   0.0001525879   30 
65536   0.0002441406   24 
65536   0.0004882812   16 
65536   0.0009765625   12 
65536   0.001953125    10 
65536   0.00390625     12 
65536   0.0078125      10 
65536   0.015625       8  
65536   0.03125        12 
65536   0.0625         10 
65536   0.125          10 
65536   0.25           16 
65536   0.5            10 
65536   0.75           12 
65536   0.875          10 
65536   0.9375         12 
65536   0.96875        12 
65536   0.984375       10 
65536   0.9921875      8  
65536   0.99609375     10 
65536   0.998046875    14 
65536   0.9990234375   16 
65536   0.9995117188   18 
65536   0.9997558594   24 
65536   0.9998474121   28 
131072  0.0000762939   20 
131072  0.0001220703   30 
131072  0.0002441406   24 
131072  0.0004882812   14 
131072  0.0009765625   14 
131072  0.001953125    10 
131072  0.00390625     10 
131072  0.0078125      10 
131072  0.015625       10 
131072  0.03125        10 
131072  0.0625         12 
131072  0.125          10 
131072  0.25           8  
131072  0.5            12 
131072  0.75           14 
131072  0.875          12 
131072  0.9375         10 
131072  0.96875        10 
131072  0.984375       10 
131072  0.9921875      10 
131072  0.99609375     10 
131072  0.998046875    10 
131072  0.9990234375   14 
131072  0.9995117188   14 
131072  0.9997558594   16 
131072  0.9998779297   26 
131072  0.9999237061   28 
262144  0.000038147    24 
262144  0.0000610352   26 
262144  0.0001220703   20 
262144  0.0002441406   12 
262144  0.0004882812   12 
262144  0.0009765625   12 
262144  0.001953125    10 
262144  0.00390625     10 
262144  0.0078125      10 
262144  0.015625       12 
262144  0.03125        10 
262144  0.0625         10 
262144  0.125          10 
262144  0.25           12 
262144  0.5            10 
262144  0.75           14 
262144  0.875          10 
262144  0.9375         10 
262144  0.96875        10 
262144  0.984375       10 
262144  0.9921875      10 
262144  0.99609375     10 
262144  0.998046875    12 
262144  0.9990234375   10 
262144  0.9995117188   18 
262144  0.9997558594   12 
262144  0.9998779297   16 
262144  0.9999389648   20 
262144  0.999961853    34 
524288  0.0000190735   28 
524288  0.0000305176   24 
524288  0.0000610352   18 
524288  0.0001220703   14 
524288  0.0002441406   16 
524288  0.0004882812   12 
524288  0.0009765625   10 
524288  0.001953125    10 
524288  0.00390625     14 
524288  0.0078125      10 
524288  0.015625       10 
524288  0.03125        12 
524288  0.0625         12 
524288  0.125          12 
524288  0.25           12 
524288  0.5            12 
524288  0.75           12 
524288  0.875          14 
524288  0.9375         12 
524288  0.96875        10 
524288  0.984375       10 
524288  0.9921875      10 
524288  0.99609375     14 
524288  0.998046875    10 
524288  0.9990234375   12 
524288  0.9995117188   10 
524288  0.9997558594   12 
524288  0.9998779297   12 
524288  0.9999389648   18 
524288  0.9999694824   28 
524288  0.9999809265   28 
1048576 0.0000095367   28 
1048576 0.0000152588   22 
1048576 0.0000305176   16 
1048576 0.0000610352   14 
1048576 0.0001220703   12 
1048576 0.0002441406   12 
1048576 0.0004882812   14 
1048576 0.0009765625   8  
1048576 0.001953125    12 
1048576 0.00390625     14 
1048576 0.0078125      10 
1048576 0.015625       12 
1048576 0.03125        10 
1048576 0.0625         10 
1048576 0.125          8  
1048576 0.25           10 
1048576 0.5            12 
1048576 0.75           10 
1048576 0.875          12 
1048576 0.9375         10 
1048576 0.96875        12 
1048576 0.984375       10 
1048576 0.9921875      10 
1048576 0.99609375     10 
1048576 0.998046875    10 
1048576 0.9990234375   10 
1048576 0.9995117188   10 
1048576 0.9997558594   10 
1048576 0.9998779297   14 
1048576 0.9999389648   12 
1048576 0.9999694824   18 
1048576 0.9999847412   20 
1048576 0.9999904633   28 
